epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,94.1025,1.84251,3.28407,2.47073,1.95704,0.20182,0.30597,0.19693,0.08319,0.0002,0.00995,0.00011,2e-05,2.126,2.89429,2.42508,2.50811,0.00141945,0.00141945,0.00141945
62,95.6095,2.02418,3.42978,2.80956,2.14594,0.23498,0.31994,0.21226,0.08304,0.00025,0.00995,0.00013,3e-05,2.09805,2.84272,2.376,2.47544,0.00141532,0.00141532,0.00141532
63,97.1189,1.84072,3.31264,2.43898,1.92199,0.31623,0.24512,0.21069,0.07639,0.00066,0.00249,0.00013,2e-05,2.15328,2.79911,2.48291,2.41783,0.0014112,0.0014112,0.0014112
64,98.6329,1.89722,3.35721,2.42875,1.95412,0.35943,0.22366,0.19628,0.07647,0.00038,0.00249,7e-05,2e-05,2.20788,2.82871,2.43344,2.43778,0.00140707,0.00140707,0.00140707
65,100.131,1.86439,3.40383,2.47156,1.92357,0.34109,0.27401,0.22332,0.09248,0.00381,0.00249,0.0003,5e-05,2.17626,3.05464,2.24935,2.44234,0.00140295,0.00140295,0.00140295
66,101.638,1.83917,3.40274,2.38421,1.93251,0.26715,0.24168,0.20368,0.09014,0.00886,0.00498,0.00035,8e-05,2.24508,3.00744,2.28814,2.51228,0.00139882,0.00139882,0.00139882
67,103.137,1.82196,3.28181,2.3478,1.89716,0.1921,0.27197,0.178,0.07419,0.00455,0.00249,0.00021,4e-05,2.33418,2.927,2.32549,2.58054,0.0013947,0.0013947,0.0013947
68,104.695,1.86716,3.28621,2.32076,1.93304,0.26848,0.24895,0.17612,0.07337,0.00204,0.00249,8e-05,2e-05,2.39049,3.03234,2.5048,2.65665,0.00139057,0.00139057,0.00139057
69,106.17,1.852,3.31383,2.46288,1.97257,0.34515,0.26463,0.20428,0.09323,0.00187,0.00249,0.00011,1e-05,2.36499,3.0428,2.56266,2.57335,0.00138644,0.00138644,0.00138644
70,107.657,1.87932,3.5101,2.39162,1.93389,0.34394,0.28817,0.23816,0.09563,0.00024,0.00498,0.00012,3e-05,2.23559,2.96813,2.48157,2.49938,0.00138232,0.00138232,0.00138232
71,109.202,1.86729,3.31268,2.28303,1.95197,0.34201,0.32204,0.25251,0.10019,0.00309,0.00498,0.00012,2e-05,2.21537,2.81193,2.30878,2.47797,0.00137819,0.00137819,0.00137819
72,110.721,1.79735,3.34579,2.29233,1.92778,0.25571,0.24168,0.20781,0.08804,0.00017,0.00498,9e-05,2e-05,2.32443,2.83936,2.27364,2.52841,0.00137407,0.00137407,0.00137407
73,112.217,1.86881,3.38566,2.38159,1.95315,0.31956,0.28894,0.20929,0.08331,0.00025,0.00498,0.00013,3e-05,2.25569,2.90135,2.40635,2.44421,0.00136994,0.00136994,0.00136994
74,113.721,1.88175,3.31304,2.43846,1.96661,0.3119,0.27555,0.22308,0.08786,0.00135,0.00498,0.00014,3e-05,2.2437,2.90235,2.43625,2.44119,0.00136581,0.00136581,0.00136581
75,115.196,1.81292,3.29197,2.40946,1.92131,0.25197,0.25479,0.19942,0.08791,0.00028,0.00498,0.00014,4e-05,2.19339,2.87515,2.51501,2.46441,0.00136169,0.00136169,0.00136169
76,116.703,1.84937,3.31566,2.35819,1.9115,0.24466,0.21278,0.17617,0.0621,0.00019,0.00498,0.0001,3e-05,2.21055,2.87566,2.58209,2.4516,0.00135756,0.00135756,0.00135756
